date,week,class,price
2010,0,H,19536
2010,0,M,10916
2010,1,H,20027
2010,1,M,11130
2010,2,H,21040
2010,2,M,12106
2010,3,H,21769
2010,3,M,12924
2010,4,H,22243
2010,4,M,13140
2010,5,H,23104
2010,5,M,14194
2010,6,H,24343
2010,6,M,15033
2010,7,H,24515
2010,7,M,15207
2010,8,H,24361
2010,8,M,14907
2010,9,H,24254
2010,9,M,15319
2010,10,H,23683
2010,10,M,16310
2010,11,H,24311
2010,11,M,16490
2010,12,H,24475
2010,12,M,16542
2010,13,H,24175
2010,13,M,16497
2010,14,H,23554
2010,14,M,16720
2010,15,H,23683
2010,15,M,16609
2010,16,H,23818
2010,16,M,16533
2010,17,H,23956
2010,17,M,17111
2010,18,H,24008
2010,18,M,17398
2010,19,H,24211
2010,19,M,17331
2010,20,H,24306
2010,20,M,17298
2010,21,H,24599
2010,21,M,17298
2010,22,H,24308
2010,22,M,17425
2010,23,H,23995
2010,23,M,17300
2010,24,H,24045
2010,24,M,17300
2010,25,H,24202
2010,25,M,17300
2010,26,H,24230
2010,26,M,17300
2010,27,H,24148
2010,27,M,17300
2010,28,H,24192
2010,28,M,16867
2010,29,H,24303
2010,29,M,17183
2010,30,H,24475
2010,30,M,17330
2010,31,H,24595
2010,31,M,17448
2010,32,H,24658
2010,32,M,17537
2010,33,H,24571
2010,33,M,17673
2010,34,H,24261
2010,34,M,17585
2010,35,H,23435
2010,35,M,16983
2010,36,H,23756
2010,36,M,17142
2010,37,H,25687
2010,37,M,20626
2010,38,H,27427
2010,38,M,22337
2010,39,H,28962
2010,39,M,19639
2010,40,H,27702
2010,40,M,18074
2010,41,H,26695
2010,41,M,17010
2010,42,H,26079
2010,42,M,16494
2010,43,H,25830
2010,43,M,17065
2010,44,H,26228
2010,44,M,17150
2010,45,H,27222
2010,45,M,17551
2010,46,H,27793
2010,46,M,17851
2010,47,H,28451
2010,47,M,17633
2010,48,H,28406
2010,48,M,18362
2010,49,H,28366
2010,49,M,19149
2010,50,H,28406
2010,50,M,19051
2010,51,H,28749
2010,51,M,18974
2010,52,H,28712
2010,52,M,19038
2011,0,H,28660
2011,0,M,19479
2011,1,H,28914
2011,1,M,19618
2011,2,H,29250
2011,2,M,19726
2011,3,H,29705
2011,3,M,20062
2011,4,H,30524
2011,4,M,20460
2011,5,H,30850
2011,5,M,20222
2011,6,H,29712
2011,6,M,20281
2011,7,H,28998
2011,7,M,20360
2011,8,H,29109
2011,8,M,20461
2011,9,H,29243
2011,9,M,20269
2011,10,H,29265
2011,10,M,20217
2011,11,H,29323
2011,11,M,20338
2011,12,H,28902
2011,12,M,20194
2011,13,H,28671
2011,13,M,19488
2011,14,H,28744
2011,14,M,19131
2011,15,H,28553
2011,15,M,19054
2011,16,H,28395
2011,16,M,19858
2011,17,H,28847
2011,17,M,19693
2011,18,H,28599
2011,18,M,19534
2011,19,H,28775
2011,19,M,19709
2011,20,H,28854
2011,20,M,20162
2011,21,H,29238
2011,21,M,20580
2011,22,H,31480
2011,22,M,21451
2011,23,H,34040
2011,23,M,22064
2011,24,H,36575
2011,24,M,24042
2011,25,H,39971
2011,25,M,26820
2011,26,H,41629
2011,26,M,27508
2011,27,H,41605
2011,27,M,28974
2011,28,H,42011
2011,28,M,29729
2011,29,H,41359
2011,29,M,31435
2011,30,H,40199
2011,30,M,33500
2011,31,H,43791
2011,31,M,34841
2011,32,H,44246
2011,32,M,34332
2011,33,H,43709
2011,33,M,33602
2011,34,H,42852
2011,34,M,34071
2011,35,H,45000
2011,36,H,36060
2011,36,M,24679
2011,37,H,36177
2011,37,M,24125
2011,38,H,34996
2011,38,M,20684
2011,39,H,30144
2011,39,M,18300
2011,40,H,27780
2011,40,M,17419
2011,41,H,26358
2011,41,M,17129
2011,42,H,26895
2011,42,M,17125
2011,43,H,26793
2011,43,M,17096
2011,44,H,26832
2011,44,M,16920
2011,45,H,27586
2011,45,M,18148
2011,46,H,27775
2011,46,M,19176
2011,47,H,28041
2011,47,M,19131
2011,48,H,28126
2011,48,M,19341
2011,49,H,28176
2011,49,M,20252
2011,50,H,28313
2011,50,M,20840
2011,51,H,29022
2011,51,M,21292
2011,52,H,29950
2011,52,M,21643
2012,1,H,30433
2012,1,M,22619
2012,2,H,30655
2012,2,M,22810
2012,3,H,32264
2012,3,M,23650
2012,4,H,31817
2012,4,M,23462
2012,5,H,30366
2012,5,M,22956
2012,6,H,29907
2012,6,M,21876
2012,7,H,29765
2012,7,M,22201
2012,8,H,29756
2012,8,M,22052
2012,9,H,29673
2012,9,M,21789
2012,10,H,29308
2012,10,M,21092
2012,11,H,29499
2012,11,M,21384
2012,12,H,30553
2012,12,M,21742
2012,13,H,31017
2012,13,M,22061
2012,14,H,31249
2012,14,M,22574
2012,15,H,31460
2012,15,M,22658
2012,16,H,31443
2012,16,M,22128
2012,17,H,31772
2012,17,M,22441
2012,18,H,32305
2012,18,M,23023
2012,19,H,33553
2012,19,M,23182
2012,20,H,34158
2012,20,M,24225
2012,21,H,35741
2012,21,M,25680
2012,22,H,35983
2012,22,M,26742
2012,23,H,35551
2012,23,M,27150
2012,24,H,36025
2012,24,M,27615
2012,25,H,36796
2012,25,M,28293
2012,26,H,39413
2012,26,M,29806
2012,27,H,41020
2012,27,M,29937
2012,28,H,40412
2012,28,M,29816
2012,29,H,40330
2012,29,M,29869
2012,30,H,40944
2012,30,M,29601
2012,31,H,41259
2012,31,M,29352
2012,32,H,40280
2012,32,M,28992
2012,33,H,38351
2012,33,M,28243
2012,34,H,36171
2012,34,M,27993
2012,35,H,36180
2012,35,M,28126
2012,36,H,34652
2012,36,M,27632
2012,37,H,34040
2012,37,M,27259
2012,38,H,36978
2012,38,M,28205
2012,39,H,39771
2012,39,M,29676
2012,40,H,40527
2012,40,M,30308
2012,41,H,40104
2012,41,M,29216
2012,42,H,39448
2012,42,M,28540
2012,43,H,38279
2012,43,M,28878
2012,44,H,36814
2012,44,M,28536
2012,45,H,37369
2012,45,M,28663
2012,46,H,37359
2012,46,M,28556
2012,47,H,37321
2012,47,M,28436
2012,48,H,38314
2012,48,M,28955
2012,49,H,38286
2012,49,M,29249
2012,50,H,38808
2012,50,M,30081
2012,51,H,38744
2012,51,M,30086
2012,52,H,38538
2012,52,M,29596
2012,53,H,38535
2012,53,M,30178
2013,0,H,38678
2013,0,M,29479
2013,1,H,39586
