date,week,class,price
2010,0,H,15000
2010,0,H,18600
2010,0,H,17000
2010,0,H,23900
2010,0,H,23040
2010,0,H,19930
2010,0,H,17000
2010,0,H,22620
2010,0,H,19930
2010,0,H,21900
2010,0,H,19930
2010,0,H,24800
2010,0,H,18600
2010,0,H,16600
2010,0,H,19000
2010,0,H,15000
2010,0,M,10000
2010,0,M,10000
2010,0,M,12450
2010,0,M,10000
2010,0,M,9960
2010,0,M,12000
2010,0,M,12000
2010,0,H,19800
2010,0,H,15000
2010,0,H,24800
2010,0,H,18940
2010,0,H,23000
2010,0,H,15000
2010,0,H,19930
2010,0,H,19930
2010,0,H,16600
2010,0,H,15000
2010,0,H,18600
2010,0,H,24800
2010,0,H,19930
2010,0,H,21900
2010,0,M,12450
2010,0,M,12000
2010,0,M,12000
2010,0,M,9960
2010,0,H,19800
2010,0,M,10000
2010,0,H,22620
2010,0,H,17000
2010,0,H,19930
2010,0,M,10000
2010,0,M,10000
2010,0,H,19930
2010,0,H,15000
2010,0,H,23000
2010,0,H,18940
2010,0,H,24800
2010,0,H,15000
2010,0,H,23040
2010,0,H,23900
2010,0,H,17000
2010,0,H,18600
2010,0,H,19000
2010,0,H,15000
2010,1,H,18940
2010,1,H,24800
2010,1,H,16000
2010,1,H,15000
2010,1,H,19000
2010,1,H,18600
2010,1,H,23000
2010,1,M,12000
2010,1,M,12000
2010,1,M,9960
2010,1,M,10000
2010,1,M,12450
2010,1,M,10000
2010,1,M,10000
2010,1,H,17000
2010,1,H,18600
2010,1,H,15000
2010,1,H,19930
2010,1,H,15000
2010,1,H,16600
2010,1,H,19930
2010,1,H,22620
2010,1,H,17000
2010,1,H,19930
2010,1,H,24800
2010,1,H,19930
2010,1,H,21900
2010,1,H,19800
2010,1,H,23900
2010,1,H,22690
2010,1,H,15000
2010,1,H,16000
2010,1,H,24800
2010,1,H,18940
2010,1,H,23000
2010,1,H,15000
2010,1,H,19930
2010,1,M,12000
2010,1,M,9960
2010,1,M,10000
2010,1,M,12450
2010,1,H,19800
2010,1,M,10000
2010,1,H,19000
2010,1,H,18600
2010,1,H,17000
2010,1,M,10000
2010,1,H,21900
2010,1,H,19930
2010,1,H,24800
2010,1,H,18600
2010,1,M,12000
2010,1,H,15000
2010,1,H,16600
2010,1,H,23900
2010,1,H,22690
2010,1,H,19930
2010,1,H,17000
2010,1,H,22620
2010,1,H,19930
2010,1,H,15000
2010,1,H,23000
2010,1,H,21500
2010,1,H,24800
2010,1,H,16000
2010,1,H,15000
2010,1,H,19930
2010,1,M,12000
2010,1,M,12000
2010,1,M,9960
2010,1,M,10000
2010,1,M,12450
2010,1,H,19800
2010,1,M,10000
2010,1,H,19000
2010,1,H,18600
2010,1,M,10000
2010,1,H,21900
2010,1,H,19930
2010,1,H,23200
2010,1,H,18600
2010,1,H,15000
2010,1,H,16600
2010,1,H,19930
2010,1,H,17000
2010,1,H,23900
2010,1,H,22690
2010,1,H,19930
2010,1,H,17000
2010,1,H,22620
2010,1,H,25870
2010,1,H,23270
2010,1,H,16600
2010,1,H,15000
2010,1,H,22600
2010,1,H,23200
2010,1,H,17000
2010,1,M,12000
2010,1,M,12000
2010,1,M,11960
2010,1,M,10000
2010,1,M,12450
2010,1,H,23260
2010,1,M,10000
2010,1,H,16670
2010,1,H,21900
2010,1,M,11000
2010,1,H,18660
2010,1,H,23900
2010,1,H,17000
2010,1,H,22600
2010,1,H,19000
2010,1,H,18900
2010,1,H,17000
2010,1,H,19800
2010,1,H,19930
2010,1,H,15000
2010,1,H,18270
2010,1,H,23600
2010,1,H,27800
2010,1,H,15000
2010,1,H,18270
2010,1,H,23600
2010,1,H,27800
2010,1,H,17000
2010,1,H,18900
2010,1,H,16660
2010,1,M,12000
2010,1,M,12000
2010,1,M,11960
2010,1,M,10000
2010,1,M,12450
2010,1,H,19800
2010,1,M,10000
2010,1,H,19000
2010,1,H,22600
2010,1,M,11000
2010,1,H,21900
2010,1,H,16670
2010,1,H,26600
2010,1,H,22600
2010,1,H,15000
2010,1,H,22670
2010,1,H,23270
2010,1,H,17000
2010,1,H,23900
2010,1,H,18660
2010,1,H,23260
2010,1,H,17000
2010,1,H,25870
2010,1,H,18900
2010,1,H,17000
2010,1,M,10000
2010,1,H,23600
2010,1,H,18270
2010,1,H,15000
2010,1,H,16660
2010,1,M,12000
2010,1,M,12000
2010,1,M,11960
2010,1,M,10000
2010,1,M,12450
2010,1,H,19800
2010,1,H,19000
2010,1,H,22600
2010,1,H,17000
2010,1,H,27800
2010,1,M,11000
2010,1,H,21900
2010,1,H,16670
2010,1,H,26600
2010,1,H,22600
2010,1,H,15000
2010,1,H,22670
2010,1,H,23900
2010,1,H,18660
2010,1,H,23260
2010,1,H,17000
2010,1,H,25870
2010,1,H,23270
2010,2,H,25870
2010,2,H,17000
2010,2,H,23260
2010,2,H,18660
2010,2,H,23900
2010,2,H,17000
2010,2,H,23270
2010,2,H,22670
2010,2,H,15000
2010,2,H,22600
2010,2,H,26600
2010,2,H,16670
2010,2,H,21900
2010,2,H,19800
2010,2,H,22600
2010,2,H,19000
2010,2,M,11000
2010,2,M,10000
2010,2,M,12450
2010,2,M,10000
2010,2,M,11960
2010,2,M,12000
2010,2,M,12000
2010,2,H,16660
2010,2,H,18900
2010,2,H,17000
2010,2,H,27800
2010,2,H,23600
2010,2,H,18270
2010,2,H,15000
2010,2,H,17000
2010,2,H,23260
2010,2,H,18660
2010,2,H,23900
2010,2,H,17000
2010,2,H,22600
2010,2,H,25870
2010,2,H,23270
2010,2,H,22670
2010,2,H,15000
2010,2,H,22600
2010,2,H,26600
2010,2,M,12000
2010,2,H,21900
2010,2,H,19000
2010,2,H,18900
2010,2,H,16670
2010,2,H,19800
2010,2,M,10000
2010,2,M,11000
2010,2,M,12450
2010,2,M,10000
2010,2,M,11960
2010,2,M,12000
2010,2,H,17000
2010,2,H,27800
2010,2,H,23600
2010,2,H,18270
2010,2,H,15000
2010,2,H,16660
2010,2,H,24270
2010,2,H,27800
2010,2,H,17000
2010,2,H,18900
2010,2,H,19000
2010,2,H,22600
2010,2,H,18270
2010,2,M,12000
2010,2,M,12000
2010,2,M,11960
2010,2,M,10000
2010,2,M,12450
2010,2,M,11000
2010,2,M,15000
2010,2,H,17000
2010,2,H,23900
2010,2,H,20000
2010,2,H,16660
2010,2,H,19800
2010,2,H,21900
2010,2,H,16670
2010,2,H,26600
2010,2,H,22600
2010,2,H,15000
2010,2,H,18660
2010,2,H,23260
2010,2,H,17000
2010,2,H,25870
2010,2,H,23270
2010,2,H,22670
2010,2,H,27800
2010,2,H,17000
2010,2,H,18900
2010,2,H,19000
2010,2,H,22600
2010,2,H,17000
2010,2,H,24670
2010,2,M,15000
2010,2,M,13000
2010,2,M,11960
2010,2,M,10000
2010,2,M,12450
2010,2,H,17000
2010,2,M,15000
2010,2,H,23900
2010,2,H,22600
2010,2,M,11000
2010,2,H,20000
2010,2,H,18900
2010,2,H,19800
2010,2,H,21900
2010,2,H,22600
2010,2,H,26600
2010,2,H,22600
2010,2,H,23260
2010,2,H,18000
2010,2,H,25870
2010,2,H,23270
2010,2,H,22670
2010,2,H,17000
2010,2,H,20000
2010,2,H,17000
2010,2,H,24670
2010,2,H,27800
2010,2,H,17000
2010,2,H,18900
2010,2,H,18900
2010,2,M,11000
2010,2,M,15000
2010,2,M,15000
2010,2,M,13000
2010,2,M,11960
2010,2,H,19800
2010,2,M,12450
2010,2,H,19000
2010,2,H,22600
2010,2,M,10000
2010,2,H,21900
2010,2,H,22600
2010,2,H,26600
2010,2,H,22600
2010,2,H,17000
2010,2,H,22670
2010,2,H,23270
2010,2,H,17000
2010,2,H,23900
2010,2,H,22600
2010,2,H,23260
2010,2,H,18000
2010,2,H,25870
2010,2,H,18900
2010,2,H,19000
2010,2,H,22600
2010,2,H,17000
2010,2,H,23900
2010,2,H,22600
2010,2,H,17000
2010,2,M,15000
2010,2,M,13000
2010,2,M,11960
2010,2,M,10000
2010,2,M,12450
2010,2,H,22600
2010,2,M,15000
2010,2,H,23260
2010,2,H,21900
2010,2,M,11000
2010,2,H,26600
2010,2,H,22600
2010,2,H,17000
2010,2,H,22670
2010,2,H,23270
2010,2,H,25870
2010,2,H,18000
2010,2,H,19800
2010,2,H,18900
2010,2,H,20000
2010,2,H,17000
2010,2,H,24670
2010,2,H,27800
2010,3,H,18900
2010,3,H,17000
2010,3,H,27800
2010,3,H,25000
2010,3,H,19930
2010,3,H,20000
2010,3,H,18900
2010,3,M,15000
2010,3,M,13000
2010,3,M,10000
2010,3,M,12450
2010,3,H,19800
2010,3,M,15000
2010,3,H,19000
2010,3,H,22600
2010,3,H,17000
2010,3,M,11000
2010,3,H,21900
2010,3,H,22600
2010,3,H,26600
2010,3,H,22600
2010,3,H,17000
2010,3,H,22670
2010,3,H,23270
2010,3,H,23900
2010,3,H,22600
2010,3,H,23260
2010,3,H,18000
2010,3,H,25870
2010,3,H,23270
2010,3,H,22670
2010,3,H,17000
2010,3,H,22600
2010,3,H,26600
2010,3,H,22600
2010,3,H,21900
2010,3,M,11000
2010,3,H,25870
2010,3,H,18000
2010,3,H,23260
2010,3,H,20000
2010,3,H,18900
2010,3,M,15000
2010,3,M,13000
2010,3,M,10000
2010,3,M,12450
2010,3,H,19800
2010,3,M,15000
2010,3,H,19930
2010,3,H,25000
2010,3,H,22600
2010,3,H,23900
2010,3,H,17000
2010,3,H,22600
2010,3,H,19000
2010,3,H,18900
2010,3,H,17000
2010,3,H,27800
