YEAR,WEEK,date,avgTemper,rain,sunHour,sunAmount,humidity,cloud,snow,wind
2010,0,2010-01-01,-4.6,0.0,7.4,4.7,52.6,1.6,1.5,7.4
2010,0,2010-01-02,0.3,0.6,1.9,2.4,66.6,4.3,1.3,8.8
2010,1,2010-01-03,-2.5,0.1,8.0,5.2,48.2,1.6,0.9,8.2
2010,1,2010-01-04,-1.4,6.0,0.9,1.4,68.1,5.8,6.3,12.4
2010,1,2010-01-05,-5.0,0.9,5.7,4.1,61.3,2.9,7.4,10.9
2010,1,2010-01-06,-7.0,0.2,7.0,4.8,61.1,1.9,6.0,9.1
2010,1,2010-01-07,-6.3,0.1,6.9,4.8,61.0,1.9,4.6,7.9
2010,1,2010-01-08,-5.1,0.0,7.4,4.8,62.3,0.8,3.7,7.1
2010,1,2010-01-09,-2.6,0.1,2.0,2.8,65.0,4.8,3.1,5.9
2010,2,2010-01-10,-1.1,0.0,1.4,2.7,67.9,5.7,3.0,6.2
2010,2,2010-01-11,-1.5,0.0,2.1,2.8,63.8,5.6,2.7,8.9
2010,2,2010-01-12,-4.9,0.5,5.9,4.7,50.0,3.0,3.3,10.6
2010,2,2010-01-13,-8.0,0.6,6.8,4.7,54.0,1.8,3.6,11.2
2010,2,2010-01-14,-5.9,0.1,6.7,4.9,58.6,2.1,3.4,6.7
2010,2,2010-01-15,-2.0,0.1,5.9,4.4,62.7,2.6,2.8,7.7
2010,2,2010-01-16,-3.5,0.0,8.5,6.0,52.6,0.5,2.3,6.3
2010,3,2010-01-17,-2.3,0.0,8.4,5.6,51.7,0.2,2.1,5.7
2010,3,2010-01-18,0.5,0.0,5.7,4.6,59.3,1.9,1.9,5.5
2010,3,2010-01-19,4.2,0.5,5.3,4.3,65.4,4.7,1.7,5.8
2010,3,2010-01-20,8.4,10.5,0.0,0.7,88.9,7.4,1.0,8.3
2010,3,2010-01-21,1.4,2.1,6.5,5.2,61.5,3.1,0.2,11.1
2010,3,2010-01-22,-2.9,0.0,7.4,5.4,49.1,1.5,0.1,11.1
2010,3,2010-01-23,-2.6,0.2,6.9,5.0,55.2,1.7,0.5,9.6
2010,4,2010-01-24,0.8,0.0,6.5,5.3,60.5,2.6,0.1,8.9
2010,4,2010-01-25,0.6,0.0,7.7,5.6,49.1,1.9,0.1,12.5
2010,4,2010-01-26,-1.9,0.0,8.8,6.6,49.1,0.5,0.0,8.4
2010,4,2010-01-27,1.8,8.5,3.5,2.9,71.2,5.2,0.1,7.7
2010,4,2010-01-28,3.3,0.0,6.7,5.4,59.7,2.1,0.0,10.3
2010,4,2010-01-29,0.5,0.0,6.7,5.5,52.0,1.4,0.0,10.3
2010,4,2010-01-30,2.2,0.4,3.6,4.0,61.2,4.0,0.0,6.7
2010,5,2010-01-31,3.4,0.1,3.6,3.7,67.7,4.2,0.0,5.5
2010,5,2010-02-01,2.4,0.7,2.3,3.2,68.2,4.0,0.0,8.9
2010,5,2010-02-02,-1.9,0.0,7.3,6.1,34.3,2.0,0.0,10.6
2010,5,2010-02-03,-4.6,0.0,8.9,6.9,37.7,0.8,0.0,10.7
2010,5,2010-02-04,-2.5,0.0,8.0,6.3,47.7,2.0,0.1,9.9
2010,5,2010-02-05,-1.6,0.0,8.4,6.5,40.7,0.6,0.0,9.0
2010,5,2010-02-06,-2.2,0.0,9.4,7.4,39.0,0.2,0.0,7.3
2010,6,2010-02-07,1.6,0.1,5.3,5.2,46.9,4.1,0.0,6.0
2010,6,2010-02-08,5.2,2.8,0.1,1.0,75.6,7.3,0.0,5.4
2010,6,2010-02-09,5.9,7.0,0.0,1.0,89.2,7.3,0.0,6.1
2010,6,2010-02-10,5.5,6.9,0.0,0.6,87.2,7.3,0.1,7.6
2010,6,2010-02-11,2.7,16.1,0.0,1.2,83.5,7.4,2.0,10.7
2010,6,2010-02-12,0.9,2.0,0.1,2.1,80.7,7.4,2.6,7.2
2010,6,2010-02-13,-0.6,1.4,3.8,5.0,67.9,5.1,3.6,8.6
2010,7,2010-02-14,-0.9,0.1,0.2,3.5,58.5,5.7,2.0,6.7
2010,7,2010-02-15,-0.1,0.1,5.9,6.2,53.6,3.2,1.7,9.0
2010,7,2010-02-16,-1.5,0.2,7.5,7.3,49.8,3.3,1.8,8.4
2010,7,2010-02-17,-1.0,0.4,4.3,5.5,46.7,5.7,2.0,7.8
2010,7,2010-02-18,-0.9,0.6,7.8,7.3,48.6,2.5,2.7,11.8
2010,7,2010-02-19,-0.1,0.0,8.0,7.3,51.4,1.4,1.4,9.7
2010,7,2010-02-20,2.7,0.0,9.2,7.7,54.5,0.3,0.9,6.8
2010,8,2010-02-21,4.3,0.0,7.5,7.3,59.9,1.6,0.6,7.3
2010,8,2010-02-22,5.7,0.0,5.6,5.3,69.6,2.6,0.5,6.7
2010,8,2010-02-23,7.1,0.0,9.1,7.8,62.4,0.5,0.3,6.2
2010,8,2010-02-24,11.3,0.0,5.8,6.3,64.3,3.8,0.2,9.3
2010,8,2010-02-25,13.4,34.4,0.0,0.7,87.1,7.4,0.1,10.9
2010,8,2010-02-26,9.7,5.2,1.6,2.4,83.3,6.0,0.1,8.2
2010,8,2010-02-27,6.6,1.5,1.1,3.0,74.8,6.3,0.0,8.4
2010,9,2010-02-28,7.3,0.1,4.9,6.1,75.2,4.6,0.0,6.5
2010,9,2010-03-01,5.6,15.0,0.0,0.9,83.1,7.3,0.3,10.8
