YEAR,WEEK,highTemper,rain,sunHour,sunAmount,humidity,cloud,snow,wind,price
2010,0,3,0.5,4.5,2,60.9,2.6,1.4,8.1,28800
2010,1,0.2,1.1,5,2.2,62.3,2.5,4.5,8.7,28800
2010,2,0.7,0.2,5.2,2.4,59.1,2.6,2.9,8.3,29567
2010,3,6.2,2,5.5,2.5,62.4,2.5,1,8.1,34200
2010,4,5.7,1.1,6.1,2.8,57.6,2.2,0.1,9.4,37600
2010,5,3.7,0.2,6.6,3.3,48.6,1.7,0,8.8,37600
2010,6,5.6,5.6,1.3,1.3,75.2,5.4,1.7,7.1,36867
2010,7,4.2,0.2,5.9,3.6,53.8,2.7,2.8,8.4,36480
2010,8,13.3,5.6,4.2,2.7,72.3,3.4,0.7,7.8,36400
2010,9,8.6,3.9,1.6,1.8,77.2,5.4,0.6,7.9,35167
2010,10,7.8,1.5,4,3.4,62.3,4,2.5,9.9,34267
2010,11,11,3.4,5,3.6,59.2,3.2,0.7,11.2,34000
2010,12,9.2,1.5,4.1,3.6,56,3.9,0.2,9.7,34000
2010,13,11.6,5.3,6.1,4.4,57.9,3,0,9.1,34000
2010,14,15.9,0,6.8,5,55.5,2.9,0,7.9,34267
2010,15,13,1.1,6.2,5.1,52.7,3.3,0,9.8,33400
2010,16,16.1,4.7,3.3,3.7,66.6,4.6,0,8.7,33567
2010,17,15.5,5.1,6.7,5.1,56.6,2.8,0,11.4,33533
2010,18,23.6,0.9,7.1,5.7,58.8,2.9,0,10,33400
2010,19,21,0.1,7.2,6.1,58,2.5,0,7.9,33900
2010,20,24.1,11.4,6.3,5.1,65.8,3.7,0,7.9,34400
2010,21,19.1,4.6,3.8,4.3,73.1,4.6,0,8,34167
2010,22,24.2,0.1,9.9,7.2,59.5,1.8,0,6.8,34500
2010,23,26.9,2.9,7.8,6.1,59.2,3.1,0,7,35600
2010,24,26.9,2.2,4.2,4.8,72.9,4.8,0,6.6,34667
2010,25,26.8,2.7,6.1,5.4,67.3,3.6,0,7.1,34467
2010,26,26.2,7,1.7,3.2,81.5,5.4,0,6.2,34233
2010,27,28.1,1.6,5,5.3,74,4.2,0,6.7,33933
2010,28,26,21.8,2.5,3.6,80.2,5.1,0,7.3,33300
2010,29,29.8,4.5,5,5.2,74,4,0,8.7,31500
2010,30,29.2,3.8,4.2,4.8,75.9,4.4,0,7.7,30233
2010,31,30.6,4.1,4.5,4.7,76.9,4,0,7.1,29533
2010,32,29.3,17.8,3.8,3.9,79,4.7,0,8.6,28933
2010,33,30.1,11.7,5.9,5,77.9,3.6,0,7,28800
2010,34,29,10.3,3.6,3.9,79,4.4,0,7.7,30533
2010,35,29.1,13.3,5.8,3.9,79.6,4.5,0,8.7,43900
2010,36,26.4,17.2,2.2,3,79.1,5.3,0,7.9,43400
2010,37,27.4,4.9,7.3,5,73.5,2.3,0,6.3,38733
2010,38,24.1,7.3,4.8,3.7,75.1,3.7,0,7.3,36900
2010,39,21.2,2,5,3.9,70.5,3.2,0,6.3,32567
2010,40,21.2,2.1,4.8,3.7,73.9,3.6,0,7,32400
2010,41,20.8,0.1,5.4,3.6,71.1,2.9,0,6.8,35600
2010,42,20.8,0.4,5.8,3.5,71.2,2.6,0,6.1,36200
2010,43,15.1,1.6,6.3,3.5,58.7,2.2,0,8.6,35833
2010,44,15.5,0.1,7.1,3.4,60.8,1.4,0,7.5,38500
2010,45,13.8,1.1,5.8,2.9,57.6,2.5,0,10.4,40800
2010,46,11.9,0,6.4,2.9,57,1.5,0,6.5,42000
2010,47,11.8,0.3,5.7,2.6,56.6,2.3,0,8.9,42360
2010,48,10.9,0.5,5.3,2.4,61.4,2.2,0.1,8.6,43400
2010,49,8.7,0.6,5,2.2,56.9,2.5,0.2,10.1,43933
2010,50,3.6,2,7.1,2,57.7,2.7,0.3,8.6,44200
2010,51,6.3,0.1,5.7,2.3,58,2,0.3,8.8,44200
2010,52,1.3,1.7,4.7,2.2,63,3.1,3.3,10.8,44200
2011,0,0.7,0.9,6.1,2.5,61.7,2.3,4.2,9.1,45000
2011,1,1.8,0.4,5.5,2.4,61.6,2.4,2.9,8.2,45600
2011,2,0.5,0.3,6.3,2.7,50.9,2,2.2,9.9,46100
2011,3,-0.3,0.1,6.6,2.9,51.6,1.7,1.8,9,50600
2011,4,-0.2,0.4,5.1,2.5,44.3,2.2,2.5,9.6,50600
2011,5,5.3,0.1,7.3,3.3,56.1,1.4,1.5,7.6,50200
2011,6,4.8,1.1,4.3,2.6,60.5,2.9,1.6,8,49600
2011,7,5.3,1.2,5.4,3.1,63.6,2.6,3.7,6.9,48800
2011,8,12.1,0,8,4.3,57.4,1.6,0.8,7.4,49155
2011,9,6.2,6.7,5.1,3.2,62.8,2.8,0.9,9.5,49132
2011,10,9.3,0,7.3,4.3,39.6,1.1,0.3,10.6,49332
2011,11,11.7,0,7,4.7,48.9,2.3,0.1,10.2,48165
2011,12,9.1,3,6.8,4.8,52,2.5,0.3,10.4,47732
2011,13,13.8,0.1,7.9,5.3,48.9,1.5,0,8.6,46065
2011,14,15.2,3.6,6.9,5,59.6,2,0,8.1,44832
2011,15,18.3,0.4,9.2,6.2,46.7,1.2,0,9.7,45832
2011,16,15.4,4.3,6.5,5.1,59,2.4,0.1,9.9,47132
2011,17,16.7,7.1,4.9,4.4,63.5,2.9,0,10.9,47132
