Date,PearClass,Price
20170811,M,"35,000"
20170811,M,"28,300"
20170811,M,"30,000"
20170811,M,"42,670"
20170811,M,"29,500"
20170811,M,"32,000"
20170811,M,"30,000"
20170811,M,"30,000"
20170811,M,"29,500"
20170811,M,"28,300"
20170811,H,"40,000"
20170811,H,"36,330"
20170811,H,"38,000"
20170811,H,"36,330"
20170811,H,"30,000"
20170811,H,"38,000"
20170811,H,"36,330"
20170811,H,"42,670"
20170811,H,"40,000"
20170811,H,"42,670"
20170811,H,"36,330"
20170811,H,"38,330"
20170811,H,"36,330"
20170811,H,"40,000"
20170811,H,"40,000"
20170811,H,"40,000"
20170811,H,"42,670"
20170811,H,"36,330"
20170811,H,"35,000"
20170811,H,"36,330"
20170811,H,"45,000"
20170811,H,"40,000"
20170811,H,"40,000"
20170811,H,"36,330"
20170811,M,"30,000"
20170811,M,"24,750"
20170811,M,"30,000"
20170811,M,"29,500"
20170811,M,"20,000"
20170811,M,"28,000"
20170810,M,"35,000"
20170810,M,"28,300"
20170810,M,"30,000"
20170810,M,"42,670"
20170810,M,"30,000"
20170810,M,"24,750"
20170810,H,"36,330"
20170810,H,"45,000"
20170810,H,"40,000"
20170810,H,"40,000"
20170810,H,"36,330"
20170810,H,"40,000"
20170810,H,"36,330"
20170810,H,"38,000"
20170810,H,"36,330"
20170810,H,"30,000"
20170810,H,"38,000"
20170810,H,"36,330"
20170810,H,"42,670"
20170810,H,"44,000"
20170810,H,"42,670"
20170810,H,"36,330"
20170810,H,"38,330"
20170810,H,"36,330"
20170810,H,"40,000"
20170810,H,"40,000"
20170810,H,"40,000"
20170810,H,"42,670"
20170810,H,"36,330"
20170810,H,"35,000"
20170810,M,"30,000"
20170810,M,"29,500"
20170810,M,"20,000"
20170810,M,"28,000"
20170810,M,"29,500"
20170810,M,"36,000"
20170810,M,"30,000"
20170810,M,"30,000"
20170810,M,"29,500"
20170810,M,"28,300"
20170809,H,"36,330"
20170809,H,"35,000"
20170809,H,"40,000"
20170809,H,"40,000"
20170809,M,"35,000"
20170809,M,"28,300"
20170809,M,"30,000"
20170809,M,"42,670"
20170809,M,"30,000"
20170809,M,"24,750"
20170809,M,"30,000"
20170809,M,"29,500"
20170809,M,"20,000"
20170809,M,"28,000"
20170809,M,"29,500"
20170809,M,"36,000"
20170809,M,"30,000"
20170809,M,"30,000"
20170809,M,"29,500"
20170809,M,"28,300"
20170809,H,"36,330"
20170809,H,"45,000"
20170809,H,"40,000"
20170809,H,"40,000"
20170809,H,"36,330"
20170809,H,"40,000"
20170809,H,"36,330"
20170809,H,"38,000"
20170809,H,"36,330"
20170809,H,"30,000"
20170809,H,"38,000"
20170809,H,"36,330"
20170809,H,"42,670"
20170809,H,"44,000"
20170809,H,"42,670"
20170809,H,"36,330"
20170809,H,"38,330"
20170809,H,"42,670"
20170809,H,"36,330"
20170809,H,"40,000"
20170808,M,"35,000"
20170808,H,"35,000"
20170808,M,"30,000"
20170808,M,"42,670"
20170808,M,"30,000"
20170808,M,"24,750"
20170808,M,"30,000"
20170808,M,"29,500"
20170808,M,"20,000"
20170808,M,"28,000"
20170808,M,"29,500"
20170808,M,"36,000"
20170808,M,"30,000"
20170808,M,"30,000"
20170808,M,"29,500"
20170808,M,"28,300"
20170808,H,"36,330"
20170808,H,"45,000"
20170808,H,"40,000"
20170808,H,"40,000"
20170808,H,"36,330"
20170808,H,"40,000"
20170808,H,"36,330"
20170808,H,"38,000"
20170808,H,"36,330"
20170808,H,"30,000"
20170808,H,"38,000"
20170808,H,"36,330"
20170808,H,"42,670"
20170808,H,"44,000"
20170808,H,"42,670"
20170808,H,"36,330"
20170808,H,"38,330"
20170808,H,"36,330"
20170808,H,"40,000"
20170808,H,"40,000"
20170808,H,"40,000"
20170808,H,"42,670"
20170808,H,"36,330"
20170808,M,"28,300"
20170807,M,"30,000"
20170807,M,"24,750"
20170807,M,"30,000"
20170807,M,"29,500"
20170807,M,"20,000"
20170807,M,"28,000"
20170807,H,"45,000"
20170807,H,"40,000"
20170807,H,"40,000"
20170807,H,"36,330"
20170807,M,"35,000"
20170807,M,"28,300"
20170807,M,"30,000"
20170807,M,"42,670"
20170807,M,"29,500"
20170807,M,"36,000"
20170807,M,"30,000"
20170807,M,"30,000"
20170807,M,"29,500"
20170807,M,"28,300"
20170807,H,"36,330"
20170807,H,"30,000"
20170807,H,"38,000"
20170807,H,"36,330"
20170807,H,"42,670"
20170807,H,"44,000"
20170807,H,"42,670"
20170807,H,"36,330"
20170807,H,"38,330"
20170807,H,"36,330"
20170807,H,"40,000"
20170807,H,"40,000"
20170807,H,"40,000"
20170807,H,"42,670"
20170807,H,"36,330"
20170807,H,"35,000"
20170807,H,"36,330"
20170807,H,"40,000"
20170807,H,"36,330"
20170807,H,"38,000"
20170806,H,"36,330"
20170806,H,"45,000"
20170806,H,"40,000"
20170806,H,"40,000"
20170806,H,"36,330"
20170806,H,"40,000"
20170806,H,"36,330"
20170806,H,"38,000"
20170806,H,"36,330"
20170806,H,"30,000"
20170806,H,"38,000"
20170806,H,"36,330"
20170806,H,"42,670"
20170806,H,"44,000"
20170806,H,"42,670"
20170806,H,"36,330"
20170806,H,"38,330"
20170806,H,"36,330"
20170806,H,"40,000"
20170806,H,"40,000"
20170806,H,"40,000"
20170806,H,"42,670"
20170806,H,"36,330"
20170806,H,"35,000"
20170806,M,"30,000"
20170806,M,"29,500"
20170806,M,"20,000"
20170806,M,"28,000"
20170806,M,"29,500"
20170806,M,"36,000"
20170806,M,"30,000"
20170806,M,"35,000"
20170806,M,"28,300"
20170806,M,"30,000"
20170806,M,"42,670"
20170806,M,"30,000"
20170806,M,"24,750"
20170806,M,"30,000"
20170806,M,"29,500"
20170806,M,"28,300"
20170805,H,"36,330"
20170805,M,"28,300"
20170805,H,"40,000"
20170805,H,"40,000"
20170805,H,"36,330"
20170805,H,"40,000"
20170805,H,"36,330"
20170805,H,"38,000"
20170805,H,"39,330"
20170805,H,"36,330"
20170805,H,"30,000"
20170805,H,"38,000"
20170805,H,"36,330"
20170805,H,"42,670"
20170805,H,"44,000"
20170805,H,"42,670"
20170805,H,"36,330"
20170805,H,"38,330"
20170805,H,"36,330"
20170805,H,"40,000"
20170805,H,"40,000"
20170805,H,"40,000"
20170805,H,"42,670"
20170805,H,"36,330"
20170805,H,"42,660"
20170805,H,"35,000"
20170805,M,"35,000"
20170805,M,"28,300"
20170805,M,"30,000"
20170805,M,"42,670"
20170805,M,"30,000"
20170805,M,"24,750"
20170805,M,"30,000"
20170805,M,"29,500"
20170805,M,"20,000"
20170805,M,"28,000"
20170805,M,"29,500"
20170805,M,"36,000"
20170805,M,"30,000"
20170805,M,"30,000"
20170805,M,"29,500"
20170805,H,"45,000"
20170804,H,"42,660"
20170804,M,"28,300"
20170804,H,"36,330"
20170804,H,"45,000"
20170804,H,"40,000"
20170804,H,"40,000"
20170804,H,"36,330"
20170804,H,"40,000"
20170804,H,"36,330"
20170804,H,"38,000"
20170804,H,"39,330"
20170804,H,"36,330"
20170804,H,"30,000"
20170804,H,"38,000"
20170804,H,"36,330"
20170804,H,"38,330"
20170804,H,"36,330"
20170804,H,"40,000"
20170804,H,"40,000"
20170804,H,"40,000"
20170804,H,"42,670"
20170804,H,"36,330"
20170804,H,"42,670"
20170804,H,"44,000"
20170804,H,"42,670"
20170804,H,"36,330"
20170804,M,"35,000"
20170804,M,"28,300"
20170804,M,"30,000"
20170804,M,"42,670"
20170804,M,"30,000"
20170804,M,"24,750"
20170804,M,"30,000"
20170804,M,"29,500"
20170804,M,"20,000"
20170804,M,"28,000"
20170804,M,"29,500"
20170804,M,"36,000"
20170804,M,"30,000"
20170804,M,"30,000"
20170804,M,"29,500"
20170804,H,"35,000"
20170803,H,"36,330"
20170803,M,"28,300"
20170803,H,"40,000"
20170803,H,"40,000"
20170803,H,"36,330"
20170803,H,"40,000"
20170803,H,"36,330"
20170803,H,"38,000"
20170803,H,"39,330"
20170803,H,"36,330"
20170803,H,"30,000"
20170803,H,"38,000"
20170803,H,"36,330"
20170803,H,"42,670"
20170803,H,"44,000"
20170803,H,"42,670"
20170803,H,"36,330"
20170803,H,"38,330"
20170803,H,"36,330"
20170803,H,"40,000"
20170803,H,"40,000"
20170803,H,"40,000"
20170803,H,"42,670"
20170803,H,"36,330"
20170803,H,"42,660"
20170803,H,"35,000"
20170803,M,"30,000"
20170803,M,"24,750"
20170803,M,"30,000"
20170803,M,"29,500"
20170803,M,"20,000"
20170803,M,"28,000"
20170803,M,"35,000"
20170803,M,"28,300"
20170803,M,"30,000"
20170803,M,"42,670"
20170803,M,"29,500"
20170803,M,"36,000"
20170803,M,"30,000"
20170803,M,"30,000"
20170803,M,"29,500"
20170803,H,"45,000"
20170802,H,"36,330"
20170802,M,"28,300"
20170802,H,"36,330"
20170802,H,"38,000"
20170802,H,"39,330"
20170802,H,"36,330"
20170802,H,"30,000"
20170802,H,"38,000"
20170802,H,"36,330"
20170802,H,"42,670"
20170802,H,"44,000"
20170802,H,"42,670"
20170802,H,"36,330"
20170802,H,"38,330"
20170802,H,"36,330"
20170802,H,"40,000"
20170802,H,"40,000"
20170802,H,"40,000"
20170802,H,"42,670"
20170802,H,"36,330"
20170802,H,"42,660"
20170802,H,"35,000"
20170802,H,"45,000"
20170802,H,"40,000"
20170802,H,"40,000"
20170802,H,"36,330"
20170802,M,"35,000"
20170802,M,"28,300"
20170802,M,"30,000"
20170802,M,"42,670"
20170802,M,"30,000"
20170802,M,"24,750"
20170802,M,"30,000"
20170802,M,"20,000"
20170802,M,"28,000"
20170802,M,"29,500"
20170802,M,"36,000"
20170802,M,"30,000"
20170802,M,"30,000"
20170802,M,"29,500"
20170802,H,"40,000"
20170801,H,"36,330"
20170801,M,"28,300"
20170801,H,"40,000"
20170801,H,"40,000"
20170801,H,"36,330"
20170801,H,"40,000"
20170801,H,"36,330"
20170801,H,"38,000"
20170801,H,"39,330"
20170801,H,"36,330"
20170801,H,"30,000"
20170801,H,"38,000"
20170801,H,"36,330"
20170801,H,"42,670"
20170801,H,"44,000"
20170801,H,"42,670"
20170801,H,"36,330"
20170801,H,"38,330"
20170801,H,"36,330"
20170801,H,"40,000"
20170801,H,"40,000"
20170801,H,"40,000"
20170801,H,"42,670"
20170801,H,"36,330"
20170801,H,"42,660"
20170801,H,"35,000"
20170801,M,"35,000"
20170801,M,"28,300"
20170801,M,"30,000"
20170801,M,"42,670"
20170801,M,"30,000"
20170801,M,"24,750"
20170801,M,"30,000"
20170801,M,"20,000"
20170801,M,"28,000"
20170801,M,"29,500"
20170801,M,"36,000"
20170801,M,"30,000"
20170801,M,"30,000"
20170801,M,"29,500"
20170801,H,"45,000"
20170730,H,"36,330"
20170730,M,"28,300"
20170730,H,"40,000"
20170730,H,"40,000"
20170730,H,"35,000"
20170730,H,"40,000"
20170730,H,"36,330"
20170730,H,"38,000"
20170730,H,"39,330"
20170730,H,"36,330"
20170730,H,"30,000"
20170730,H,"38,000"
20170730,H,"36,330"
20170730,H,"42,670"
20170730,H,"44,000"
20170730,H,"42,670"
20170730,H,"36,330"
20170730,H,"46,000"
20170730,H,"36,330"
20170730,H,"40,000"
20170730,H,"40,000"
20170730,H,"40,000"
20170730,H,"42,670"
20170730,H,"36,330"
20170730,H,"42,660"
20170730,H,"35,000"
20170730,M,"35,000"
20170730,M,"28,300"
20170730,M,"30,000"
20170730,M,"42,670"
20170730,M,"30,000"
20170730,M,"24,750"
20170730,M,"30,000"
20170730,M,"20,000"
20170730,M,"28,000"
20170730,M,"29,500"
20170730,M,"36,000"
20170730,M,"30,000"
20170730,M,"30,000"
20170730,M,"29,500"
20170730,H,"45,000"
20170729,M,"30,000"
20170729,H,"35,000"
20170729,M,"28,000"
20170729,M,"29,500"
20170729,M,"36,000"
20170729,M,"30,000"
20170729,M,"30,000"
20170729,M,"29,500"
20170729,M,"28,300"
20170729,M,"35,000"
20170729,M,"28,300"
20170729,M,"30,000"
20170729,M,"42,670"
20170729,M,"30,000"
20170729,M,"24,750"
