date,price
20170815,"30,787"
20170814,"30,787"
20170812,"30,787"
20170811,"30,787"
20170810,"35,553"
20170809,"27,083"
20170808,"31,272"
20170807,"41,604"
20170804,"47,994"
20170803,"40,186"
20170802,"44,700"
20170801,"55,865"
20170731,"57,989"
20170729,"33,773"
20170728,"33,773"
20170727,"43,645"
20170726,"35,945"
20170725,"28,457"
20170724,"52,415"
20170722,"62,740"
20170721,"39,456"
20170720,"33,947"
20170719,"36,533"
20170718,"47,254"
20170717,"57,694"
20170715,"30,272"
20170714,"37,172"
20170713,"50,137"
20170712,"40,629"
20170711,"54,663"
20170710,"46,424"
20170708,"39,857"
20170707,"58,006"
20170706,"45,005"
20170705,"56,383"
20170704,"51,172"
20170703,"57,196"
20170701,"36,972"
20170630,"42,186"
20170629,"61,227"
20170628,"55,767"
20170627,"42,975"
20170626,"65,702"
20170624,"38,565"
20170623,"49,104"
20170622,"52,145"
20170621,"48,601"
20170620,"48,716"
20170619,"54,936"
20170617,"50,255"
20170616,"52,365"
20170615,"50,216"
20170614,"47,163"
20170613,"48,007"
20170612,"52,822"
20170610,"39,247"
20170609,"50,664"
20170608,"53,711"
20170607,"54,759"
20170606,"58,545"
20170605,"58,545"
20170603,"46,212"
20170602,"49,480"
20170601,"51,961"
20170531,"48,142"
20170530,"47,268"
20170529,"49,965"
20170527,"42,085"
20170526,"42,085"
20170525,"43,595"
20170524,"41,237"
20170523,"40,358"
20170522,"48,060"
20170520,"36,573"
20170519,"41,023"
20170518,"45,019"
20170517,"40,914"
20170516,"40,315"
20170515,"44,979"
20170513,"49,015"
20170512,"49,015"
20170511,"38,865"
20170510,"39,005"
20170509,"43,731"
20170508,"39,966"
20170506,"37,800"
20170505,"29,234"
20170504,"28,814"
20170503,"30,215"
20170502,"32,857"
20170501,"38,149"
20170429,"28,958"
20170428,"35,821"
20170427,"40,162"
20170426,"39,570"
20170425,"37,314"
20170424,"46,079"
20170422,"33,707"
20170421,"38,742"
20170420,"33,618"
20170419,"34,692"
20170418,"32,126"
20170417,"39,082"
20170415,"38,135"
20170414,"34,451"
20170413,"38,872"
20170412,"33,488"
20170411,"32,783"
20170410,"36,145"
20170408,"34,886"
20170407,"37,948"
20170406,"34,146"
20170405,"34,799"
20170404,"36,834"
20170403,"32,534"
20170401,"30,091"
20170331,"32,057"
20170330,"27,260"
20170329,"31,500"
20170328,"31,476"
20170327,"33,364"
20170325,"21,633"
20170324,"26,274"
20170323,"25,491"
20170322,"31,390"
20170321,"28,067"
20170320,"31,384"
20170318,"24,432"
20170317,"31,908"
20170316,"29,658"
20170315,"26,480"
20170314,"31,565"
20170313,"31,168"
20170311,"25,400"
20170310,"26,153"
20170309,"34,101"
20170308,"28,642"
20170307,"30,242"
20170306,"31,377"
20170304,"29,876"
20170303,"31,952"
20170302,"30,541"
20170301,"30,957"
20170228,"32,600"
20170227,"31,524"
20170225,"36,459"
20170224,"27,520"
20170223,"27,819"
20170222,"28,304"
20170221,"27,968"
20170220,"29,958"
20170218,"26,230"
20170217,"28,063"
20170216,"30,814"
