date,class,price
20170814,M,"45,000"
20170814,M,"38,000"
20170814,H,"62,000"
20170814,H,"53,000"
20170814,M,"55,000"
20170814,H,"48,000"
20170814,H,"55,000"
20170814,M,"55,000"
20170814,M,"47,000"
20170814,H,"60,000"
20170813,M,"55,000"
20170813,M,"40,000"
20170813,M,"50,000"
20170813,M,"47,000"
20170813,M,"55,000"
20170813,H,"60,000"
20170813,H,"50,000"
20170813,H,"60,000"
20170813,H,"53,000"
20170813,H,"62,000"
20170812,M,"47,000"
20170812,M,"55,000"
20170812,H,"60,000"
20170812,H,"50,000"
20170812,M,"55,000"
20170812,H,"53,000"
20170812,H,"62,000"
20170812,M,"40,000"
20170812,M,"50,000"
20170812,H,"60,000"
20170811,M,"50,000"
20170811,M,"40,000"
20170811,M,"55,000"
20170811,H,"62,000"
20170811,H,"53,000"
20170811,H,"60,000"
20170811,H,"50,000"
20170811,H,"60,000"
20170811,M,"47,000"
20170811,M,"55,000"
20170810,H,"53,000"
20170810,H,"60,000"
20170810,H,"55,000"
20170810,H,"60,000"
20170810,M,"55,000"
20170810,M,"47,000"
20170810,M,"55,000"
20170810,H,"62,000"
20170810,M,"45,000"
20170810,M,"50,000"
20170809,M,"45,000"
20170809,M,"55,000"
20170809,M,"47,000"
20170809,M,"55,000"
20170809,M,"50,000"
20170809,H,"55,000"
20170809,H,"60,000"
20170809,H,"53,000"
20170809,H,"62,000"
20170809,H,"60,000"
20170808,M,"50,000"
20170808,M,"45,000"
20170808,M,"55,000"
20170808,M,"47,000"
20170808,M,"55,000"
20170808,H,"60,000"
20170808,H,"55,000"
20170808,H,"60,000"
20170808,H,"62,000"
20170808,H,"53,000"
20170807,H,"60,000"
20170807,M,"55,000"
20170807,M,"47,000"
20170807,M,"55,000"
20170807,M,"45,000"
20170807,M,"50,000"
20170807,H,"62,000"
20170807,H,"53,000"
20170807,H,"60,000"
20170807,H,"55,000"
20170806,M,"40,000"
20170806,M,"55,000"
20170806,M,"47,000"
20170806,M,"55,000"
20170806,H,"62,000"
20170806,H,"60,000"
20170806,H,"50,000"
20170806,H,"60,000"
20170806,H,"53,000"
20170806,M,"50,000"
20170805,H,"62,000"
20170805,H,"53,000"
20170805,H,"60,000"
20170805,H,"50,000"
20170805,M,"55,000"
20170805,M,"47,000"
20170805,M,"55,000"
20170805,M,"40,000"
20170805,M,"50,000"
20170805,H,"60,000"
20170804,H,"62,000"
20170804,H,"53,000"
20170804,H,"60,000"
20170804,H,"50,000"
20170804,M,"50,000"
20170804,M,"55,000"
20170804,M,"47,000"
20170804,M,"55,000"
20170804,M,"40,000"
20170804,H,"60,000"
20170803,M,"40,000"
20170803,M,"55,000"
20170803,M,"47,000"
20170803,M,"55,000"
20170803,H,"60,000"
20170803,H,"50,000"
20170803,H,"60,000"
20170803,H,"53,000"
20170803,H,"62,000"
20170803,M,"50,000"
20170802,H,"62,000"
20170802,H,"53,000"
20170802,H,"60,000"
20170802,H,"55,000"
20170802,M,"50,000"
20170802,M,"55,000"
20170802,M,"47,000"
20170802,M,"55,000"
20170802,M,"45,000"
20170802,H,"60,000"
20170801,H,"62,000"
20170801,H,"53,000"
20170801,H,"60,000"
20170801,H,"55,000"
20170801,H,"60,000"
20170801,M,"55,000"
20170801,M,"47,000"
20170801,M,"55,000"
20170801,M,"45,000"
20170801,M,"50,000"
20170730,H,"62,000"
20170730,H,"53,000"
20170730,H,"60,000"
20170730,H,"55,000"
20170730,M,"50,000"
20170730,M,"55,000"
20170730,M,"47,000"
20170730,M,"55,000"
20170730,M,"45,000"
20170730,H,"60,000"
20170729,M,"55,000"
20170729,M,"47,000"
20170729,M,"55,000"
20170729,M,"45,000"
20170729,M,"50,000"
20170729,H,"55,000"
20170729,H,"60,000"
20170729,H,"53,000"
20170729,H,"62,000"
20170729,H,"60,000"
20170728,H,"55,000"
20170728,H,"60,000"
20170728,H,"53,000"
20170728,H,"62,000"
20170728,H,"60,000"
20170728,M,"50,000"
20170728,M,"45,000"
20170728,M,"55,000"
20170728,M,"47,000"
20170728,M,"55,000"
20170727,M,"45,000"
20170727,M,"55,000"
20170727,M,"47,000"
20170727,M,"55,000"
20170727,M,"50,000"
20170727,H,"53,000"
20170727,H,"60,000"
20170727,H,"55,000"
20170727,H,"60,000"
20170727,H,"60,000"
20170726,H,"60,000"
20170726,M,"55,000"
20170726,M,"47,000"
20170726,M,"55,000"
20170726,M,"45,000"
20170726,M,"50,000"
20170726,H,"60,000"
20170726,H,"53,000"
20170726,H,"60,000"
20170726,H,"55,000"
20170725,M,"45,000"
20170725,M,"55,000"
20170725,M,"47,000"
20170725,M,"55,000"
20170725,H,"60,000"
20170725,H,"60,000"
20170725,H,"55,000"
20170725,H,"60,000"
20170725,H,"53,000"
20170725,M,"50,000"
20170724,H,"60,000"
20170724,H,"53,000"
20170724,H,"60,000"
20170724,H,"55,000"
20170724,M,"55,000"
20170724,M,"47,000"
20170724,M,"55,000"
20170724,M,"45,000"
20170724,M,"51,000"
20170724,H,"61,000"
20170723,H,"60,000"
20170723,H,"53,000"
20170723,H,"60,000"
20170723,H,"60,000"
20170723,M,"51,000"
20170723,M,"55,000"
20170723,M,"47,000"
20170723,M,"55,000"
20170723,M,"50,000"
20170723,H,"61,000"
20170722,M,"50,000"
20170722,M,"55,000"
20170722,M,"47,000"
20170722,M,"55,000"
20170722,H,"61,000"
20170722,H,"60,000"
20170722,H,"60,000"
20170722,H,"53,000"
20170722,H,"60,000"
20170722,M,"51,000"
20170721,H,"60,000"
20170721,H,"53,000"
20170721,H,"60,000"
20170721,H,"60,000"
20170721,M,"51,000"
20170721,M,"55,000"
20170721,M,"47,000"
20170721,M,"55,000"
20170721,M,"50,000"
20170721,H,"61,000"
20170720,H,"60,000"
20170720,H,"53,000"
20170720,H,"60,000"
20170720,H,"60,000"
20170720,H,"61,000"
20170720,M,"55,000"
20170720,M,"47,000"
20170720,M,"55,000"
20170720,M,"50,000"
20170720,M,"51,000"
20170719,M,"55,000"
20170719,H,"60,000"
20170719,H,"53,000"
20170719,H,"60,000"
20170719,M,"51,000"
20170719,M,"50,000"
20170719,M,"55,000"
20170719,M,"47,000"
20170719,H,"60,000"
20170719,H,"61,000"
20170718,M,"51,000"
20170718,M,"45,000"
20170718,M,"50,000"
20170718,M,"47,000"
20170718,H,"60,000"
20170718,H,"61,000"
20170718,H,"55,000"
20170718,H,"55,000"
20170718,H,"53,000"
20170718,M,"55,000"
20170717,H,"60,000"
20170717,H,"53,000"
20170717,H,"55,000"
20170717,H,"55,000"
20170717,H,"61,000"
20170717,M,"55,000"
20170717,M,"47,000"
20170717,M,"50,000"
20170717,M,"45,000"
